0    [main] INFO  be.kdg.Simulator.DomainLoader.SectionLoader  - SectionInfo set: Section: { sectionId: 361, speed: 6, numberOfBlocks:14, blockLength: 100, crossings: 10-14, singleDirection: true, highBlocknumberSectionId: null}
504  [main] INFO  be.kdg.Simulator.DomainLoader.RideRouter  - loadSection with info: Section: { sectionId: 10, speed: 34, numberOfBlocks:13, blockLength: 174, crossings: 2-13-13-5, singleDirection: false, highBlocknumberSectionId: 356-730}
605  [main] INFO  be.kdg.Simulator.DomainLoader.SectionLoader  - SectionInfo set: Section: { sectionId: 251, speed: 13, numberOfBlocks:19, blockLength: 139, crossings: 1-5, singleDirection: false, highBlocknumberSectionId: 237-912}
605  [main] INFO  be.kdg.Simulator.DomainLoader.RideRouter  - loadSection with info: Section: { sectionId: 251, speed: 13, numberOfBlocks:19, blockLength: 139, crossings: 1-5, singleDirection: false, highBlocknumberSectionId: 237-912}
706  [main] INFO  be.kdg.Simulator.DomainLoader.SectionLoader  - SectionInfo set: Section: { sectionId: 7, speed: 31, numberOfBlocks:10, blockLength: 50, crossings: 9, singleDirection: false, highBlocknumberSectionId: 5-6}
706  [main] INFO  be.kdg.Simulator.DomainLoader.RideRouter  - loadSection with info: Section: { sectionId: 7, speed: 31, numberOfBlocks:10, blockLength: 50, crossings: 9, singleDirection: false, highBlocknumberSectionId: 5-6}
808  [main] INFO  be.kdg.Simulator.DomainLoader.SectionLoader  - SectionInfo set: Section: { sectionId: 490, speed: 10, numberOfBlocks:48, blockLength: 118, crossings: 8-27, singleDirection: true, highBlocknumberSectionId: null}
808  [main] INFO  be.kdg.Simulator.DomainLoader.RideRouter  - loadSection with info: Section: { sectionId: 490, speed: 10, numberOfBlocks:48, blockLength: 118, crossings: 8-27, singleDirection: true, highBlocknumberSectionId: null}
909  [main] INFO  be.kdg.Simulator.DomainLoader.SectionLoader  - SectionInfo set: Section: { sectionId: 217, speed: 47, numberOfBlocks:18, blockLength: 53, crossings: 3-14-17-9, singleDirection: true, highBlocknumberSectionId: null}
909  [main] INFO  be.kdg.Simulator.DomainLoader.RideRouter  - loadSection with info: Section: { sectionId: 217, speed: 47, numberOfBlocks:18, blockLength: 53, crossings: 3-14-17-9, singleDirection: true, highBlocknumberSectionId: null}
1010 [main] INFO  be.kdg.Simulator.DomainLoader.SectionLoader  - SectionInfo set: Section: { sectionId: 201, speed: 44, numberOfBlocks:23, blockLength: 111, crossings: 21-18-4, singleDirection: false, highBlocknumberSectionId: 433-514}
1011 [main] INFO  be.kdg.Simulator.DomainLoader.RideRouter  - loadSection with info: Section: { sectionId: 201, speed: 44, numberOfBlocks:23, blockLength: 111, crossings: 21-18-4, singleDirection: false, highBlocknumberSectionId: 433-514}
1112 [main] INFO  be.kdg.Simulator.DomainLoader.SectionLoader  - SectionInfo set: Section: { sectionId: 239, speed: 15, numberOfBlocks:47, blockLength: 86, crossings: 14-10-23-23, singleDirection: true, highBlocknumberSectionId: null}
1112 [main] INFO  be.kdg.Simulator.DomainLoader.RideRouter  - loadSection with info: Section: { sectionId: 239, speed: 15, numberOfBlocks:47, blockLength: 86, crossings: 14-10-23-23, singleDirection: true, highBlocknumberSectionId: null}
1213 [main] INFO  be.kdg.Simulator.DomainLoader.SectionLoader  - SectionInfo set: Section: { sectionId: 187, speed: 5, numberOfBlocks:4, blockLength: 172, crossings: 4-3-3-1, singleDirection: false, highBlocknumberSectionId: 6-719}
1213 [main] INFO  be.kdg.Simulator.DomainLoader.RideRouter  - loadSection with info: Section: { sectionId: 187, speed: 5, numberOfBlocks:4, blockLength: 172, crossings: 4-3-3-1, singleDirection: false, highBlocknumberSectionId: 6-719}
1315 [main] INFO  be.kdg.Simulator.DomainLoader.SectionLoader  - SectionInfo set: Section: { sectionId: 364, speed: 50, numberOfBlocks:39, blockLength: 119, crossings: 37-28, singleDirection: true, highBlocknumberSectionId: null}
1315 [main] INFO  be.kdg.Simulator.DomainLoader.RideRouter  - loadSection with info: Section: { sectionId: 364, speed: 50, numberOfBlocks:39, blockLength: 119, crossings: 37-28, singleDirection: true, highBlocknumberSectionId: null}
1315 [main] INFO  be.kdg.Simulator.RideSimulator  - Ride after getRoute: Ride: { rideId: 33, Delay: 10000, rideSections: [Section: { sectionId: 361, speed: 6, numberOfBlocks:14, blockLength: 100, crossings: 10-14, singleDirection: true, highBlocknumberSectionId: null}, Section: { sectionId: 422, speed: 43, numberOfBlocks:8, blockLength: 191, crossings: 7, singleDirection: false, highBlocknumberSectionId: 487-642}, Section: { sectionId: 407, speed: 14, numberOfBlocks:8, blockLength: 182, crossings: 1, singleDirection: true, highBlocknumberSectionId: null}, Section: { sectionId: 100, speed: 23, numberOfBlocks:40, blockLength: 62, crossings: 2-7-13, singleDirection: true, highBlocknumberSectionId: null}, Section: { sectionId: 494, speed: 16, numberOfBlocks:5, blockLength: 115, crossings: 4-3-4-1, singleDirection: true, highBlocknumberSectionId: null}, Section: { sectionId: 10, speed: 34, numberOfBlocks:13, blockLength: 174, crossings: 2-13-13-5, singleDirection: false, highBlocknumberSectionId: 356-730}, Section: { sectionId: 251, speed: 13, numberOfBlocks:19, blockLength: 139, crossings: 1-5, singleDirection: false, highBlocknumberSectionId: 237-912}, Section: { sectionId: 7, speed: 31, numberOfBlocks:10, blockLength: 50, crossings: 9, singleDirection: false, highBlocknumberSectionId: 5-6}, Section: { sectionId: 490, speed: 10, numberOfBlocks:48, blockLength: 118, crossings: 8-27, singleDirection: true, highBlocknumberSectionId: null}, Section: { sectionId: 217, speed: 47, numberOfBlocks:18, blockLength: 53, crossings: 3-14-17-9, singleDirection: true, highBlocknumberSectionId: null}, Section: { sectionId: 201, speed: 44, numberOfBlocks:23, blockLength: 111, crossings: 21-18-4, singleDirection: false, highBlocknumberSectionId: 433-514}, Section: { sectionId: 239, speed: 15, numberOfBlocks:47, blockLength: 86, crossings: 14-10-23-23, singleDirection: true, highBlocknumberSectionId: null}, Section: { sectionId: 187, speed: 5, numberOfBlocks:4, blockLength: 172, crossings: 4-3-3-1, singleDirection: false, highBlocknumberSectionId: 6-719}, Section: { sectionId: 364, speed: 50, numberOfBlocks:39, blockLength: 119, crossings: 37-28, singleDirection: true, highBlocknumberSectionId: null}]}
1523 [main] INFO  be.kdg.Simulator.DomainLoader.SectionLoader  - SectionInfo set: Section: { sectionId: 425, speed: 25, numberOfBlocks:31, blockLength: 122, crossings: 14-16-24, singleDirection: true, highBlocknumberSectionId: null}
1523 [main] INFO  be.kdg.Simulator.DomainLoader.RideRouter  - loadSection with info: Section: { sectionId: 425, speed: 25, numberOfBlocks:31, blockLength: 122, crossings: 14-16-24, singleDirection: true, highBlocknumberSectionId: null}
1626 [main] INFO  be.kdg.Simulator.DomainLoader.SectionLoader  - SectionInfo set: Section: { sectionId: 434, speed: 4, numberOfBlocks:30, blockLength: 57, crossings: 21-16-10-28, singleDirection: true, highBlocknumberSectionId: null}
1626 [main] INFO  be.kdg.Simulator.DomainLoader.RideRouter  - loadSection with info: Section: { sectionId: 434, speed: 4, numberOfBlocks:30, blockLength: 57, crossings: 21-16-10-28, singleDirection: true, highBlocknumberSectionId: null}
1729 [main] INFO  be.kdg.Simulator.DomainLoader.SectionLoader  - SectionInfo set: Section: { sectionId: 214, speed: 42, numberOfBlocks:49, blockLength: 121, crossings: 21-23, singleDirection: false, highBlocknumberSectionId: 460-668}
1729 [main] INFO  be.kdg.Simulator.DomainLoader.RideRouter  - loadSection with info: Section: { sectionId: 214, speed: 42, numberOfBlocks:49, blockLength: 121, crossings: 21-23, singleDirection: false, highBlocknumberSectionId: 460-668}
1832 [main] INFO  be.kdg.Simulator.DomainLoader.SectionLoader  - SectionInfo set: Section: { sectionId: 384, speed: 36, numberOfBlocks:22, blockLength: 108, crossings: 9, singleDirection: false, highBlocknumberSectionId: 317-756}
1832 [main] INFO  be.kdg.Simulator.DomainLoader.RideRouter  - loadSection with info: Section: { sectionId: 384, speed: 36, numberOfBlocks:22, blockLength: 108, crossings: 9, singleDirection: false, highBlocknumberSectionId: 317-756}
