type;rideId;sectionId;BlockNr;delay
signalisatie;32;555;23;20
detectie;99;387;17;2
detectie;22;882;36;24
signalisatie;56;276;23;25
signalisatie;46;518;20;34
detectie;60;412;16;22
detectie;21;368;26;24
signalisatie;58;292;37;16
detectie;28;846;25;12
detectie;98;806;35;1
detectie;4;735;10;46
signalisatie;94;700;24;44
detectie;46;867;27;36
detectie;7;24;43;15
detectie;12;135;5;40
signalisatie;67;800;27;14
signalisatie;7;39;42;35
detectie;73;334;12;25
detectie;43;114;48;11
signalisatie;20;595;34;14
detectie;57;928;4;10
signalisatie;7;372;36;43
detectie;12;815;9;46
detectie;33;659;15;4
detectie;66;741;33;5
signalisatie;56;181;10;5
signalisatie;65;559;50;33
signalisatie;92;805;19;5
detectie;98;918;21;39
detectie;66;464;26;2
signalisatie;27;298;5;48
signalisatie;8;869;48;44
detectie;67;77;50;48
signalisatie;76;952;33;3
signalisatie;75;630;4;21
detectie;10;706;15;41
detectie;98;877;16;28
detectie;16;455;39;33
detectie;79;300;49;8
detectie;52;818;11;24
detectie;26;269;6;9
signalisatie;5;995;30;31
signalisatie;95;950;40;24
signalisatie;13;369;19;18
signalisatie;90;807;19;10
signalisatie;61;745;3;45
detectie;13;284;32;28
signalisatie;91;931;9;25
signalisatie;6;689;38;46
detectie;92;388;46;29
detectie;40;760;22;1
signalisatie;50;89;27;1
signalisatie;98;359;34;42
detectie;47;997;7;33
signalisatie;22;481;45;49
signalisatie;1;898;16;27
signalisatie;42;64;18;20
signalisatie;96;905;22;10
detectie;53;135;4;32
detectie;45;475;2;20
detectie;71;790;8;47
signalisatie;90;283;32;12
signalisatie;30;133;45;32
detectie;69;359;28;13
signalisatie;81;650;11;13
signalisatie;67;894;25;46
detectie;30;25;7;12
detectie;65;724;48;31
detectie;79;823;47;5
signalisatie;94;568;8;7
signalisatie;32;579;14;18
detectie;62;732;35;16
detectie;29;584;39;40
detectie;83;214;36;21
detectie;50;101;10;39
detectie;53;577;25;26
signalisatie;60;489;49;29
detectie;79;450;36;9
detectie;86;89;43;3
detectie;93;564;5;5
signalisatie;68;325;31;30
detectie;98;292;45;50
signalisatie;91;348;43;21
signalisatie;66;724;23;40
detectie;51;28;26;32
detectie;83;846;44;44
signalisatie;30;249;19;2
signalisatie;82;140;16;13
detectie;86;508;9;32
signalisatie;60;351;23;41
detectie;61;766;28;26
signalisatie;81;367;28;9
detectie;55;202;1;33
signalisatie;88;99;46;30
signalisatie;31;231;30;28
signalisatie;89;454;34;32
signalisatie;18;8;12;32
detectie;27;719;39;44
signalisatie;17;336;14;9
signalisatie;33;708;18;14
signalisatie;13;379;50;42
signalisatie;7;877;50;32
signalisatie;94;651;27;16
detectie;48;758;25;11
signalisatie;33;901;42;46
detectie;78;533;11;1
detectie;60;14;27;8
detectie;20;17;22;37
detectie;87;720;26;20
detectie;12;867;6;38
signalisatie;71;725;33;13
detectie;46;229;42;7
signalisatie;69;898;8;21
signalisatie;49;241;13;29
signalisatie;82;438;39;32
signalisatie;38;238;13;40
signalisatie;94;193;25;30
signalisatie;78;615;9;1
detectie;4;954;17;12
signalisatie;91;283;2;37
signalisatie;8;274;30;14
signalisatie;66;790;42;7
signalisatie;58;264;30;24
detectie;26;508;19;25
detectie;39;121;28;31
signalisatie;63;883;20;45
signalisatie;57;539;2;43
signalisatie;1;698;23;29
detectie;58;24;31;23
detectie;87;643;2;10
detectie;82;203;14;4
detectie;8;493;50;28
signalisatie;14;661;42;35
signalisatie;4;550;6;42
detectie;32;681;32;38
signalisatie;7;593;30;20
signalisatie;5;541;3;42
detectie;86;954;15;25
detectie;5;150;14;9
detectie;64;688;15;21
signalisatie;34;744;7;25
signalisatie;61;747;8;22
signalisatie;95;291;48;23
signalisatie;60;388;42;32
detectie;71;768;44;23
detectie;85;352;1;49
detectie;100;741;7;10
signalisatie;10;545;50;20
detectie;21;343;43;47
signalisatie;6;593;20;46
signalisatie;62;98;24;3
signalisatie;68;304;34;35
detectie;90;899;15;12
signalisatie;93;323;27;17
signalisatie;82;545;37;33
signalisatie;36;442;18;1
detectie;44;266;46;2
detectie;15;809;26;13
signalisatie;17;173;11;1
detectie;14;519;33;18
detectie;64;439;3;10
signalisatie;82;551;46;48
signalisatie;23;312;27;15
signalisatie;66;752;14;23
signalisatie;16;780;25;48
detectie;100;47;7;12
detectie;18;900;8;10
signalisatie;97;782;26;19
detectie;64;262;1;6
signalisatie;82;559;27;9
signalisatie;64;194;20;11
signalisatie;15;690;47;42
signalisatie;65;453;24;13
detectie;70;710;23;1
signalisatie;31;601;14;5
signalisatie;63;743;2;34
detectie;24;180;23;17
detectie;32;33;30;22
signalisatie;91;98;39;46
signalisatie;40;884;39;44
signalisatie;94;617;27;1
detectie;59;487;7;23
signalisatie;5;203;32;48
signalisatie;37;505;45;46
detectie;88;117;23;32
detectie;88;214;13;3
detectie;74;908;48;3
signalisatie;93;665;15;9
signalisatie;30;94;12;13
detectie;32;434;17;20
signalisatie;85;387;23;6
signalisatie;51;105;43;28
signalisatie;2;414;38;21
signalisatie;79;799;18;32
signalisatie;91;511;5;47
signalisatie;64;192;30;28
detectie;88;787;48;9
signalisatie;96;411;38;8
detectie;25;837;10;17
detectie;38;561;25;31
signalisatie;32;341;7;39
signalisatie;49;49;42;36
detectie;58;902;43;48
signalisatie;6;824;15;29
detectie;49;725;31;9
detectie;44;30;14;31
signalisatie;59;769;46;2
detectie;91;421;33;32
detectie;28;283;37;1
detectie;1;583;2;2
detectie;64;982;14;43
signalisatie;16;104;38;50
detectie;61;178;46;47
signalisatie;28;233;34;13
detectie;75;390;34;30
detectie;44;199;26;33
detectie;97;858;33;16
signalisatie;11;540;31;1
signalisatie;89;275;15;48
signalisatie;8;453;28;3
signalisatie;15;392;47;25
detectie;82;568;17;42
signalisatie;8;5;44;32
detectie;55;669;21;24
signalisatie;36;381;36;27
detectie;100;846;23;21
signalisatie;51;916;46;45
detectie;14;524;26;50
detectie;31;856;7;25
detectie;43;782;17;34
signalisatie;8;280;35;5
signalisatie;46;360;17;24
signalisatie;26;228;45;28
signalisatie;72;899;21;37
detectie;62;870;41;34
detectie;5;182;12;3
signalisatie;53;872;3;24
signalisatie;9;762;31;36
signalisatie;57;598;26;24
detectie;78;823;22;43
detectie;39;775;41;33
detectie;52;202;49;23
detectie;28;52;33;38
signalisatie;49;401;4;21
detectie;11;38;18;4
signalisatie;18;303;45;25
detectie;70;978;7;15
signalisatie;45;190;28;24
detectie;33;408;27;23
signalisatie;28;968;43;1
detectie;69;658;25;34
signalisatie;30;169;23;47
signalisatie;15;996;15;48
detectie;69;104;22;20
signalisatie;20;655;24;30
signalisatie;55;463;44;31
detectie;37;966;48;12
detectie;91;343;3;33
signalisatie;67;111;25;13
detectie;23;578;45;20
signalisatie;69;69;46;28
detectie;56;60;24;17
signalisatie;7;431;32;29
signalisatie;95;911;48;16
detectie;16;748;12;36
detectie;90;136;17;21
detectie;19;991;48;18
signalisatie;75;922;42;27
signalisatie;68;570;40;40
detectie;52;551;6;24
signalisatie;95;306;33;18
signalisatie;10;828;25;7
signalisatie;38;781;22;20
detectie;69;329;21;16
signalisatie;80;757;41;30
detectie;79;190;26;34
detectie;42;996;31;36
signalisatie;27;452;12;5
signalisatie;4;194;43;11
detectie;28;123;29;41
detectie;77;782;30;6
signalisatie;14;898;8;17
signalisatie;35;206;42;35
detectie;99;777;40;19
detectie;55;77;2;42
signalisatie;95;595;13;42
detectie;62;244;36;8
detectie;14;879;19;45
detectie;55;560;39;5
detectie;65;490;23;28
signalisatie;59;675;11;11
signalisatie;30;768;6;19
detectie;17;600;19;39
detectie;55;419;8;22
detectie;20;468;20;37
signalisatie;96;148;38;40
detectie;51;374;18;8
detectie;95;294;8;7
signalisatie;2;497;26;50
signalisatie;80;71;8;20
detectie;80;261;4;10
detectie;94;544;46;28
detectie;18;857;9;12
detectie;9;980;21;37
detectie;10;973;43;30
detectie;31;344;3;25
detectie;98;962;33;31
detectie;83;326;12;43
detectie;22;243;14;4
detectie;24;351;16;33
signalisatie;54;669;13;35
detectie;50;739;46;33
detectie;22;965;30;1
detectie;13;43;26;37
detectie;86;411;34;34
signalisatie;16;195;4;24
signalisatie;36;836;9;3
signalisatie;20;133;33;1
signalisatie;38;246;31;30
detectie;56;745;15;22
signalisatie;90;137;40;12
detectie;50;448;44;36
signalisatie;81;188;29;14
signalisatie;85;567;6;46
detectie;9;32;25;16
signalisatie;87;482;44;39
detectie;21;378;7;25
detectie;87;277;30;49
detectie;19;188;4;6
signalisatie;29;88;10;46
signalisatie;22;267;20;46
detectie;9;384;41;17
detectie;10;732;5;9
signalisatie;87;523;38;3
detectie;59;2;35;46
signalisatie;8;668;28;30
detectie;55;204;39;28
detectie;64;788;43;30
detectie;36;81;38;23
detectie;15;11;5;50
detectie;33;216;27;41
detectie;6;788;30;37
detectie;79;836;45;46
signalisatie;40;722;26;31
detectie;82;342;48;32
detectie;98;513;25;30
signalisatie;81;341;19;49
signalisatie;77;778;13;30
signalisatie;23;416;31;20
detectie;52;52;6;23
signalisatie;57;888;23;40
detectie;11;567;37;35
detectie;90;645;4;36
detectie;22;67;41;20
detectie;56;710;43;11
signalisatie;6;203;28;15
signalisatie;42;876;31;50
detectie;100;832;16;31
signalisatie;32;61;19;38
detectie;21;509;13;47
signalisatie;56;439;38;36
detectie;44;580;7;1
detectie;90;457;44;23
signalisatie;36;161;26;1
signalisatie;82;402;40;29
signalisatie;64;148;50;49
detectie;90;506;47;27
detectie;17;534;26;48
detectie;98;759;46;16
signalisatie;65;460;8;43
detectie;60;350;19;8
signalisatie;84;100;18;4
signalisatie;2;315;25;13
signalisatie;69;670;46;39
signalisatie;95;378;41;12
detectie;9;426;38;22
detectie;15;950;8;28
detectie;28;309;38;1
signalisatie;22;657;17;17
signalisatie;90;834;10;36
detectie;60;400;11;5
signalisatie;16;603;30;35
detectie;23;27;36;48
detectie;89;995;40;25
detectie;3;573;22;30
signalisatie;97;786;28;16
signalisatie;26;641;28;27
detectie;10;873;19;14
signalisatie;54;906;4;43
signalisatie;11;204;20;10
signalisatie;83;440;48;35
signalisatie;96;593;40;26
detectie;45;323;2;46
signalisatie;15;540;36;6
signalisatie;11;54;24;20
signalisatie;19;29;17;45
detectie;61;359;10;22
signalisatie;8;11;20;3
detectie;3;522;20;14
detectie;2;916;20;40
signalisatie;92;618;41;17
signalisatie;41;618;30;2
detectie;100;128;22;33
detectie;22;439;24;46
detectie;42;742;39;14
detectie;15;439;39;26
signalisatie;66;942;16;43
detectie;80;733;26;13
signalisatie;10;102;32;23
signalisatie;94;484;16;27
signalisatie;18;868;8;36
signalisatie;18;738;42;16
signalisatie;83;198;33;10
detectie;23;583;11;9
signalisatie;41;532;1;32
signalisatie;76;921;17;20
signalisatie;24;155;45;1
signalisatie;42;490;16;40
signalisatie;89;784;2;5
signalisatie;60;947;46;40
detectie;62;606;7;33
detectie;15;766;32;24
detectie;7;418;28;14
detectie;13;721;32;6
detectie;81;94;13;24
detectie;96;18;27;20
signalisatie;59;694;34;46
signalisatie;93;759;1;16
detectie;80;46;24;49
detectie;67;519;45;12
signalisatie;22;138;4;31
signalisatie;36;463;50;50
signalisatie;38;540;39;49
detectie;12;862;10;2
detectie;41;258;25;33
detectie;56;380;9;35
detectie;13;333;5;21
detectie;30;483;11;41
signalisatie;69;197;7;36
signalisatie;12;183;48;21
signalisatie;16;737;28;40
signalisatie;92;667;26;15
detectie;88;262;18;48
signalisatie;46;968;26;36
detectie;69;276;41;28
signalisatie;55;48;15;31
signalisatie;20;753;37;5
signalisatie;16;610;22;22
signalisatie;40;384;15;27
detectie;7;387;37;24
detectie;31;718;13;22
detectie;44;850;9;29
detectie;39;228;49;30
detectie;67;596;34;10
detectie;46;615;20;16
signalisatie;11;210;14;24
signalisatie;67;954;6;46
signalisatie;1;350;30;29
signalisatie;71;460;5;27
detectie;96;792;24;8
signalisatie;14;670;13;16
signalisatie;12;544;41;41
signalisatie;85;382;20;5
detectie;84;682;30;6
detectie;85;289;32;38
signalisatie;29;92;13;38
detectie;49;830;9;47
signalisatie;72;400;20;20
signalisatie;32;89;25;21
detectie;85;557;44;12
detectie;85;896;44;16
signalisatie;56;130;41;10
signalisatie;77;613;17;48
detectie;31;438;17;42
signalisatie;59;838;34;39
detectie;27;276;33;27
signalisatie;94;356;44;20
signalisatie;52;918;32;3
detectie;13;158;49;26
detectie;31;830;36;11
signalisatie;40;58;46;2
signalisatie;15;472;48;1
signalisatie;68;119;31;10
detectie;75;947;48;35
detectie;47;998;33;41
signalisatie;96;30;24;34
signalisatie;39;443;6;48
detectie;71;361;7;18
signalisatie;94;683;22;36
detectie;37;627;45;5
signalisatie;78;557;43;32
detectie;80;100;4;25
detectie;25;550;40;50
detectie;74;117;29;8
signalisatie;49;566;28;24
detectie;4;203;6;13
detectie;77;438;24;36
detectie;51;637;26;36
detectie;3;277;32;3
signalisatie;16;104;7;20
detectie;28;128;4;43
signalisatie;97;232;45;30
signalisatie;25;175;23;18
signalisatie;91;962;11;13
detectie;89;897;1;17
detectie;11;285;8;26
detectie;96;130;47;49
signalisatie;86;7;42;1
signalisatie;41;58;39;18
detectie;55;812;24;31
detectie;89;401;26;33
signalisatie;90;112;19;24
detectie;24;486;19;23
signalisatie;95;787;11;4
detectie;82;878;29;27
detectie;10;664;15;4
detectie;2;969;39;10
detectie;37;38;24;33
detectie;1;777;33;10
detectie;30;59;19;47
signalisatie;85;98;5;47
signalisatie;77;219;8;15
signalisatie;49;694;2;9
signalisatie;70;620;27;34
signalisatie;89;121;26;11
detectie;33;207;18;9
signalisatie;34;110;7;50
signalisatie;6;40;23;50
signalisatie;9;395;19;28
signalisatie;49;834;11;44
detectie;72;568;19;28
signalisatie;85;996;49;33
detectie;50;674;41;16
detectie;60;3;40;3
signalisatie;20;567;20;28
signalisatie;88;524;32;17
signalisatie;61;29;18;6
signalisatie;60;913;1;10
detectie;61;940;24;18
signalisatie;31;634;8;6
signalisatie;55;996;13;16
detectie;51;585;34;32
detectie;95;844;38;45
detectie;48;791;25;41
signalisatie;44;693;8;41
signalisatie;100;569;16;40
signalisatie;15;559;21;32
detectie;24;492;12;15
detectie;18;944;38;35
detectie;42;14;48;49
signalisatie;48;724;10;12
detectie;95;782;21;4
signalisatie;55;130;13;41
signalisatie;25;467;26;1
signalisatie;79;940;37;4
detectie;86;791;19;13
signalisatie;43;801;24;40
signalisatie;78;769;20;24
signalisatie;93;747;46;45
signalisatie;60;836;24;20
signalisatie;76;722;48;11
signalisatie;89;644;14;22
detectie;35;346;50;20
signalisatie;48;29;6;43
detectie;28;375;30;8
signalisatie;81;169;34;36
signalisatie;6;431;16;17
signalisatie;36;311;27;34
signalisatie;17;154;31;2
detectie;91;190;49;26
detectie;7;134;41;9
signalisatie;82;819;47;49
detectie;53;494;16;19
signalisatie;14;325;4;50
signalisatie;53;138;26;24
signalisatie;35;336;39;2
detectie;93;29;14;28
signalisatie;60;85;42;24
signalisatie;75;914;18;24
signalisatie;74;921;7;16
detectie;27;243;49;49
detectie;86;987;9;40
signalisatie;61;315;21;26
signalisatie;94;317;15;18
detectie;18;215;21;10
signalisatie;94;185;23;22
detectie;62;117;38;25
signalisatie;4;826;38;38
detectie;14;107;10;18
signalisatie;67;674;28;6
signalisatie;71;505;5;31
detectie;17;79;25;12
detectie;15;634;49;24
detectie;26;390;35;41
detectie;37;972;23;2
detectie;59;396;3;10
signalisatie;85;701;12;4
signalisatie;39;127;33;14
detectie;24;219;3;40
signalisatie;59;409;2;40
signalisatie;26;499;30;29
detectie;31;416;8;11
detectie;19;402;37;19
detectie;96;667;26;14
detectie;88;500;45;24
signalisatie;62;278;37;50
detectie;87;843;49;12
detectie;96;951;9;6
detectie;53;584;19;28
signalisatie;28;995;50;31
signalisatie;53;96;42;37
detectie;53;357;19;11
detectie;13;278;43;27
signalisatie;69;435;6;34
detectie;58;707;44;34
signalisatie;47;183;40;2
signalisatie;73;660;16;44
signalisatie;87;685;17;45
detectie;47;132;2;4
detectie;79;835;22;7
signalisatie;94;706;23;27
signalisatie;5;382;16;46
detectie;2;412;17;48
detectie;12;833;16;6
detectie;80;783;32;20
signalisatie;43;247;10;42
detectie;21;150;44;43
detectie;90;78;6;28
detectie;80;284;49;27
detectie;22;802;11;5
detectie;61;674;15;32
detectie;39;76;14;33
detectie;4;787;35;49
signalisatie;19;605;48;13
detectie;28;165;23;14
detectie;78;258;40;45
detectie;14;848;12;45
signalisatie;75;979;26;12
detectie;2;88;32;14
signalisatie;31;696;47;1
signalisatie;34;548;46;14
signalisatie;27;832;7;38
signalisatie;69;937;44;26
detectie;13;150;45;39
signalisatie;38;388;1;43
signalisatie;37;373;16;15
detectie;59;493;3;3
signalisatie;87;509;23;46
detectie;19;584;13;10
signalisatie;43;330;47;32
detectie;43;117;16;30
signalisatie;1;764;22;19
detectie;31;485;32;29
signalisatie;44;362;20;41
signalisatie;11;616;20;34
signalisatie;23;37;31;15
detectie;39;20;7;30
detectie;32;593;18;3
detectie;55;177;18;8
signalisatie;68;596;19;39
detectie;44;661;30;19
detectie;83;591;3;30
signalisatie;35;690;36;23
detectie;6;76;28;26
detectie;64;44;31;48
signalisatie;67;593;29;44
signalisatie;56;646;47;9
detectie;4;758;6;14
detectie;87;420;33;10
detectie;37;911;30;48
detectie;1;454;44;45
signalisatie;93;752;14;48
detectie;89;459;22;41
detectie;31;12;28;15
signalisatie;34;79;21;10
signalisatie;18;381;35;16
signalisatie;57;219;9;34
signalisatie;67;938;41;11
signalisatie;9;372;5;18
signalisatie;79;590;13;23
signalisatie;26;712;23;7
signalisatie;56;18;43;11
signalisatie;82;238;48;48
detectie;94;470;6;22
signalisatie;74;602;23;24
signalisatie;20;417;45;8
detectie;23;27;38;25
signalisatie;86;542;10;48
detectie;37;9;29;47
signalisatie;49;113;22;42
detectie;24;584;11;49
detectie;77;338;42;37
detectie;46;123;28;41
detectie;72;765;12;21
signalisatie;43;289;35;28
signalisatie;34;95;5;39
signalisatie;26;703;49;25
signalisatie;92;422;3;24
detectie;18;667;9;29
detectie;38;718;48;9
detectie;53;250;14;12
detectie;99;545;35;48
signalisatie;6;658;50;34
detectie;82;451;46;4
signalisatie;51;148;10;8
signalisatie;99;460;36;41
signalisatie;32;228;35;2
signalisatie;43;645;38;34
detectie;47;738;23;50
detectie;89;421;30;41
signalisatie;66;187;34;27
signalisatie;22;634;40;3
detectie;39;971;19;24
detectie;2;379;17;16
signalisatie;4;622;19;24
detectie;1;369;42;40
detectie;16;234;25;47
signalisatie;44;152;21;42
signalisatie;45;97;16;50
signalisatie;10;716;20;3
signalisatie;78;360;47;24
signalisatie;49;894;44;21
signalisatie;36;302;27;5
signalisatie;46;315;42;30
signalisatie;77;760;27;50
signalisatie;60;971;17;43
detectie;73;588;19;4
signalisatie;27;549;9;16
detectie;61;747;24;46
signalisatie;68;238;2;22
signalisatie;25;577;36;10
detectie;41;673;18;17
signalisatie;96;292;25;50
signalisatie;95;963;46;29
detectie;59;954;9;30
signalisatie;54;50;47;28
signalisatie;59;68;20;32
signalisatie;16;130;8;50
signalisatie;87;632;10;11
signalisatie;71;358;42;46
signalisatie;48;735;49;17
detectie;89;479;9;14
signalisatie;47;502;38;3
signalisatie;47;284;13;46
signalisatie;53;230;7;32
signalisatie;2;153;43;4
signalisatie;89;34;42;28
detectie;98;429;33;6
detectie;53;104;7;2
detectie;61;177;49;42
signalisatie;71;261;37;17
detectie;1;860;39;46
signalisatie;10;53;37;21
detectie;12;39;10;27
detectie;45;698;31;39
detectie;71;52;14;39
detectie;38;689;22;28
signalisatie;15;83;40;6
detectie;38;651;31;17
signalisatie;13;22;33;18
signalisatie;63;113;49;1
detectie;38;448;3;13
detectie;78;183;2;19
signalisatie;86;937;44;13
detectie;93;895;22;35
signalisatie;37;132;29;44
signalisatie;69;898;22;37
detectie;45;448;36;3
signalisatie;40;450;5;23
signalisatie;11;609;17;27
signalisatie;19;887;5;28
detectie;7;839;38;41
detectie;34;995;34;15
signalisatie;75;169;23;19
detectie;43;927;29;33
signalisatie;9;609;8;22
signalisatie;88;661;46;34
signalisatie;95;492;27;1
detectie;29;837;9;50
signalisatie;69;729;29;49
detectie;35;244;38;37
detectie;81;217;13;30
signalisatie;56;783;29;23
detectie;40;798;41;46
detectie;66;893;21;11
signalisatie;85;511;39;15
detectie;32;999;8;17
signalisatie;83;154;2;33
signalisatie;2;66;27;41
detectie;69;617;26;46
signalisatie;52;321;33;41
detectie;82;688;37;6
detectie;62;459;17;37
detectie;26;885;39;18
signalisatie;19;108;49;20
detectie;67;693;14;22
detectie;31;854;10;21
signalisatie;35;898;19;45
signalisatie;15;13;15;20
detectie;94;852;13;42
signalisatie;100;110;42;38
detectie;84;492;9;9
detectie;90;971;20;13
signalisatie;19;672;21;32
detectie;30;805;44;38
detectie;90;911;12;43
signalisatie;87;691;19;27
detectie;14;740;15;7
signalisatie;40;18;32;42
detectie;30;415;3;20
signalisatie;94;927;38;38
signalisatie;45;726;7;4
signalisatie;32;793;9;38
signalisatie;77;632;28;6
detectie;39;263;34;36
detectie;29;22;4;44
signalisatie;24;189;32;16
signalisatie;26;940;34;6
signalisatie;79;708;4;14
detectie;18;750;27;46
detectie;19;118;20;8
signalisatie;73;223;47;16
signalisatie;74;172;40;34
detectie;81;225;22;37
signalisatie;38;269;30;21
detectie;78;621;43;30
signalisatie;69;119;1;12
detectie;66;583;16;24
signalisatie;1;502;7;12
signalisatie;56;188;47;30
signalisatie;75;630;20;47
detectie;26;330;50;7
signalisatie;13;309;19;7
detectie;36;219;16;42
signalisatie;65;141;19;12
signalisatie;87;784;7;10
detectie;58;420;28;19
detectie;34;802;44;9
detectie;67;901;3;13
signalisatie;34;90;35;48
detectie;84;508;25;25
detectie;94;244;3;6
signalisatie;54;407;41;9
detectie;15;101;21;45
detectie;79;555;28;35
signalisatie;9;804;34;44
detectie;57;799;2;3
detectie;100;904;49;29
detectie;73;9;22;18
detectie;96;979;24;36
signalisatie;31;326;11;36
detectie;40;263;16;20
signalisatie;27;304;31;41
signalisatie;1;613;26;27
detectie;38;452;42;39
detectie;21;208;8;49
signalisatie;1;25;22;50
signalisatie;76;255;11;42
signalisatie;41;613;17;26
detectie;30;210;30;4
detectie;53;436;42;16
signalisatie;79;669;10;35
signalisatie;14;526;36;33
signalisatie;21;231;2;30
signalisatie;2;621;23;34
signalisatie;100;858;22;44
detectie;15;499;7;38
signalisatie;15;884;34;8
detectie;90;34;50;4
detectie;52;510;5;11
signalisatie;90;151;25;22
detectie;95;759;47;47
signalisatie;88;1000;13;4
signalisatie;40;207;44;50
signalisatie;96;518;3;44
detectie;35;368;44;23
detectie;50;317;33;21
detectie;58;773;15;17
